feature,importance
sys_mod_count,0.5757196942223198
reassignment_count,0.07198504898186225
opened_month,0.06989690568450482
assignment_group,0.05904632911987612
category,0.04340390092592971
subcategory,0.04178422376743456
opened_hour,0.03736828635104762
location,0.036957004251510876
opened_day_of_week,0.027381051759279386
urgency_level,0.01261172611928507
impact_level,0.009395949845698071
is_business_hours,0.005933612051873866
reopen_count,0.004774767915879928
is_weekend,0.0025170056436253415
contact_type,0.0012244933598728799
